x,y,pearson_r_location_level,pearson_p_location_level,n_locations
elevation_m,temperature_2m,0.7211070791259906,0.10582557039194238,6
elevation_m,precipitation,-0.6479426889396128,0.16409876806782536,6
elevation_m,wind_speed_10m,0.21774902439591157,0.6785387089486379,6
elevation_m,relative_humidity_2m,-0.7421432922853026,0.09116266578703694,6
elevation_m,pressure_msl,-0.793313719022913,0.05966408989197254,6
latitude,temperature_2m,0.887599442809332,0.0182408000139868,6
latitude,precipitation,-0.8247498441801562,0.04337773020481039,6
latitude,wind_speed_10m,0.7568036824871474,0.08152481719667436,6
longitude,temperature_2m,0.5582871912172145,0.24957396973000864,6
longitude,precipitation,-0.5596148181981112,0.24820470778126805,6
longitude,wind_speed_10m,-0.16576538992649872,0.7536293794364468,6
relative_humidity_2m,temperature_2m,-0.9638377910535018,0.00193791327667523,6
pressure_msl,elevation_m,-0.793313719022913,0.05966408989197254,6
